11CM016JPMV|01/01/2554|31/12/2555|JPM|JPMorgan Chase Bank, National Association|JPM01|ห้อง IT Room ชั้น 1 อาคารบุปผจิต|VLP-400|B305970|AS
11CM234LAFT|25/09/2554|24/09/2555|L&F|LI & FUNG (THAILAND) LTD|L&F|อาคารมณียาเซ็นเตอร์ ชั้น 11 ถนนเพลินจิต|MU-63ACC|ADC15|AS
11CM234LAFT|25/09/2554|24/09/2555|L&F|LI & FUNG (THAILAND) LTD|L&F|อาคารมณียาเซ็นเตอร์ ชั้น 11 ถนนเพลินจิต|AEGIS|AEGIS-01|AS
12CM008PFIV|15/01/2555|14/01/2556|PZ|PFIZER(THAILAND)LTD.|PZ|อาคารยูไนเต็ค ชั้น 36|GEMINI II|FM200-003|AS
11CM264MOIT|01/10/2554|30/09/2555|MOI|กรมการปกครอง|MOI12|ศูนย์บริการประชาชน วังไชยา(นางเลิ้ง)|AEC|062403017|AS
11CM264MOIT|01/10/2554|30/09/2555|MOI|กรมการปกครอง|MOI12|ศูนย์บริการประชาชน วังไชยา(นางเลิ้ง)|VLC-500.|B372161|AS
11CM264MOIT|01/10/2554|30/09/2555|MOI|กรมการปกครอง|MOI12|ศูนย์บริการประชาชน วังไชยา(นางเลิ้ง)|AEGIS|PRG01|AS
11CM292TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT01|สถานีรายงานภูเก็ต|EST1-2Z1-220|EST1-1|AS
11CM292TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT02|สถานีรายงานหาดใหญ่ ( เขาวังชิง )|EST1-2Z1-220|EST1-2|AS
11CM292TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT02|สถานีรายงานหาดใหญ่ ( เขาวังชิง )|FA-1025UI|FA-1025-1|AS
11CM292TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT03|สถานีรายงานเกาะสมุย|ENGINE PUMP CONTROL|21547404|AS
11CM292TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT03|สถานีรายงานเกาะสมุย|SFP-2402|EST1-3|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|ETA1300|ETA01|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|MS-5210UDE|MS01|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|SCORPIO|ZONE1|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|SCORPIO|ZONE2|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|SCORPIO|ZONE3|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|SCORPIO|ZONE4|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|SCORPIO|ZONE5|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|SCORPIO|ZONE6|AS
11CM301TAFV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|PKT07|ศูนย์ควบคุมการปฎิบัติทางอากาศ 3 สุราษฎร์ธานี|SCORPIO|ZONE7|AS
11CM293RTAV|01/10/2554|30/09/2555|RTA|กรมช่างโยธาทหารอากาศ|TAFC01|อาคารศูนย์ส่งกำลังบำรุง กองบัญชาการสนับสนุนทหารอากาศ ชั้น 1|RT-6|W03189|AS
11CM137NPWT|01/03/2554|29/02/2555|NPW|กรมช่างโยธาทหารเรือ|ETC|อาคารรับรองที่ประทับ แหลมหางนาค จังหวัดกระบี่|VLC-505VN|B240594|AS
11CM137NPWT|01/03/2554|29/02/2555|NPW|กรมช่างโยธาทหารเรือ|ETC|อาคารรับรองที่ประทับ แหลมหางนาค จังหวัดกระบี่|VLS-204|B280626|AS
11CM137NPWT|01/03/2554|29/02/2555|NPW|กรมช่างโยธาทหารเรือ|ETC|อาคารรับรองที่ประทับ แหลมหางนาค จังหวัดกระบี่|VLC-505VN|B282526|AS
11CM137NPWT|01/03/2554|29/02/2555|NPW|กรมช่างโยธาทหารเรือ|ETC|อาคารรับรองที่ประทับ แหลมหางนาค จังหวัดกระบี่|VLS-204|B342084|AS
08S4279MFAT|01/06/2553|31/05/2557|MFA|กระทรวงการต่างประเทศ|MFA05|ศูนย์ราชการใหม่ แจ้งวัฒนะ ชั้น 8|VLS-204|B384082|AS
08S4279MFAT|01/06/2553|31/05/2557|MFA|กระทรวงการต่างประเทศ|MFA05|ศูนย์ราชการใหม่ แจ้งวัฒนะ ชั้น 8|AEGIS|FSCP-1|AS
08S4279MFAT|01/06/2553|31/05/2557|MFA|กระทรวงการต่างประเทศ|MFA05|ศูนย์ราชการใหม่ แจ้งวัฒนะ ชั้น 8|AEGIS|FSCP-2|AS
08S4279MFAT|01/06/2553|31/05/2557|MFA|กระทรวงการต่างประเทศ|MFA05|ศูนย์ราชการใหม่ แจ้งวัฒนะ ชั้น 8|AEGIS|FSCP-3|AS
11CM255NHAV|01/10/2554|30/09/2555|NHA|การเคหะแห่งชาติ|NHA|การเคหะแห่งชาติ ศูนย์คอมฯ ชั้น3|SCORPIO|08108|AS
11CM255NHAV|01/10/2554|30/09/2555|NHA|การเคหะแห่งชาติ|NHA|การเคหะแห่งชาติ ศูนย์คอมฯ ชั้น3|MP-24E|S624|AS
11CM255NHAV|01/10/2554|30/09/2555|NHA|การเคหะแห่งชาติ|NHA01|การเคหะแห่งชาติ ศูนย์คอมฯ ชั้น 3|SCORPIO|01258|AS
